count,Kraj,DruhZarizeni,Datum
11.052946940037346,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-05-01
9.828918510768913,Moravskoslezskı kraj,Domácí zdravotní péèe,2020-08-01
9.9122144303517,Moravskoslezskı kraj,Domácí zdravotní péèe,2020-09-01
11.195088092904305,Moravskoslezskı kraj,Domácí zdravotní péèe,2018-11-01
11.195088092904305,Moravskoslezskı kraj,Domácí zdravotní péèe,2018-10-01
11.195088092904305,Moravskoslezskı kraj,Domácí zdravotní péèe,2018-12-01
11.219156668458961,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-04-01
9.724739569797642,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-03-01
9.412438912854975,Moravskoslezskı kraj,Domácí zdravotní péèe,2020-02-01
10.060075417032042,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-08-01
11.219156668458961,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-07-01
10.060075417032042,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-09-01
11.219156668458961,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-03-01
9.828918510768913,Moravskoslezskı kraj,Domácí zdravotní péèe,2020-07-01
11.219156668458961,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-01-01
9.976241455223443,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-01-01
11.136051804248154,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-06-01
9.724739569797642,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-06-01
11.052946940037346,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-09-01
9.892407493414842,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-07-01
9.9122144303517,Moravskoslezskı kraj,Domácí zdravotní péèe,2020-11-01
10.227743340649244,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-10-01
10.055688569507662,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-12-01
11.052946940037346,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-10-01
9.55707164618044,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-05-01
9.724739569797642,Moravskoslezskı kraj,Domácí zdravotní péèe,2021-04-01
9.9122144303517,Moravskoslezskı kraj,Domácí zdravotní péèe,2020-10-01
11.052946940037346,Moravskoslezskı kraj,Domácí zdravotní péèe,2019-11-01
