currency,date,avg_value
AUD,1999-01,1.8387299999999995
AUD,1999-02,1.7514600000000002
AUD,1999-03,1.7260043478260871
AUD,1999-04,1.668363636363636
AUD,1999-05,1.604585714285714
AUD,1999-06,1.580472727272727
AUD,1999-07,1.5757454545454548
AUD,1999-08,1.6450863636363637
AUD,1999-09,1.618572727272727
AUD,1999-10,1.6413666666666666
AUD,1999-11,1.6178590909090909
AUD,1999-12,1.5798
AUD,2000-01,1.5421428571428575
AUD,2000-02,1.5642428571428568
AUD,2000-03,1.5827347826086957
AUD,2000-04,1.5878166666666667
AUD,2000-05,1.5702999999999998
AUD,2000-06,1.5967500000000001
AUD,2000-07,1.597790476190476
AUD,2000-08,1.5574565217391305
AUD,2000-09,1.5749238095238092
AUD,2000-10,1.6175772727272728
AUD,2000-11,1.638681818181818
AUD,2000-12,1.6422315789473687
AUD,2001-01,1.6891363636363637
AUD,2001-02,1.72364
AUD,2001-03,1.8071909090909093
AUD,2001-04,1.7847263157894735
AUD,2001-05,1.6812590909090905
AUD,2001-06,1.6469333333333334
AUD,2001-07,1.6889590909090908
AUD,2001-08,1.716934782608696
AUD,2001-09,1.803565
AUD,2001-10,1.7955478260869566
AUD,2001-11,1.717186363636364
AUD,2001-12,1.734811111111111
AUD,2002-01,1.70935
AUD,2002-02,1.6963300000000001
AUD,2002-03,1.6694849999999999
AUD,2002-04,1.6537380952380953
AUD,2002-05,1.666172727272727
AUD,2002-06,1.67926
AUD,2002-07,1.792182608695652
AUD,2002-08,1.804531818181818
AUD,2002-09,1.7926714285714287
AUD,2002-10,1.7830782608695654
AUD,2002-11,1.7847285714285714
AUD,2002-12,1.8075950000000003
AUD,2003-01,1.821836363636364
AUD,2003-02,1.8111899999999999
AUD,2003-03,1.7949523809523815
AUD,2003-04,1.781295
AUD,2003-05,1.7865571428571432
AUD,2003-06,1.7552047619047615
AUD,2003-07,1.718378260869565
AUD,2003-08,1.7113761904761904
AUD,2003-09,1.6967454545454543
AUD,2003-10,1.6866826086956521
AUD,2003-11,1.6337249999999996
AUD,2003-12,1.662647619047619
AUD,2004-01,1.637442857142857
AUD,2004-02,1.6259599999999998
AUD,2004-03,1.6369608695652178
AUD,2004-04,1.61415
AUD,2004-05,1.703295238095238
AUD,2004-06,1.748331818181818
AUD,2004-07,1.7135272727272726
AUD,2004-08,1.7147090909090907
AUD,2004-09,1.7396045454545457
AUD,2004-10,1.7049428571428569
AUD,2004-11,1.6866636363636367
AUD,2004-12,1.7462
AUD,2005-01,1.7146619047619047
AUD,2005-02,1.666995
AUD,2005-03,1.6806190476190472
AUD,2005-04,1.6737761904761908
AUD,2005-05,1.6570545454545451
AUD,2005-06,1.5874727272727271
